Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Genesco inc.,GCO,"",1291365.0,82234000.0,0.002,0.0016,2105,28449.0,2.252644,addition,8.6344715,Q2 2002,CONSUMER DISCRETIONARY,"","",39.6904
Arch coal inc,ARCH,"",1440770.0,82095000.0,0.002,0.0016,2106,6408.0,0.446749,addition,9.4204517,Q4 2016,ENERGY,"","",75.3579
Eplus inc.,PLUS,"",945587.0,81973000.0,0.002,0.0026,2107,-19694.0,-2.040235,reduction,7.0015714,Q1 2010,INFORMATION TECHNOLOGY,"","",56.13
Enanta pharmaceuticals inc,ENTA,"",1857019.0,81727000.0,0.002,0.0025,2108,-41655.0,-2.1939,reduction,9.1864100,Q2 2013,HEALTH CARE,"","",61.75
Seres therapeutics inc,MCRB,"",3405570.0,81223000.0,0.002,0.0019,2109,-13707.0,-0.400874,reduction,3.7130648,Q2 2015,HEALTH CARE,"","",15.62
Urstadt biddle properties  inc. class a,UBA,"",4181865.0,81045000.0,0.002,0.0018,2110,160986.0,4.003751,addition,13.8928746,Q2 2002,REAL ESTATE,"","",18.9762
Northfield bancorp inc,NFBK,"",4923587.0,80747000.0,0.002,0.0023,2111,-391407.0,-7.364204,reduction,9.6910597,Q4 2007,FINANCE,"","",13.7
Avid bioservices inc,CDMO,"",3135383.0,80423000.0,0.002,0.0014,2112,274746.0,9.604364,addition,5.1317553,Q2 2002,HEALTH CARE,"","",807.5349
Seaboard corp. (hathaway bakeries),SEB,"",20748.0,80269000.0,0.002,0.0021,2113,35.0,0.168976,addition,1.7874203,Q2 2002,CONSUMER STAPLES,"","",2425.5386
Nova measuring instruments ltd,NVMI,"",774819.0,79722000.0,0.002,0.0018,2114,37090.0,5.027591,addition,2.7479201,Q1 2015,INFORMATION TECHNOLOGY,"","",21.1686
Orthofix medical inc.,OFIX,"",1979857.0,79412000.0,0.002,0.0024,2115,-35559.0,-1.76435,reduction,10.0526513,Q4 2005,HEALTH CARE,"","",40.33
Nantkwest inc,IBRX,"",5560023.0,79398000.0,0.002,0.0016,2116,3000632.0,117.240078,addition,1.4482778,Q3 2015,HEALTH CARE,"","",13.0049
Digitalocean holdings inc,DOCN,"",1427058.0,79330000.0,0.002,0.0013,2117,307255.0,27.438308,addition,1.3294728,Q1 2021,INFORMATION TECHNOLOGY,"","",45.028
Rubius therapeutics inc,RUBY,"",3242403.0,79148000.0,0.002,0.0022,2118,143801.0,4.640835,addition,3.6117442,Q3 2018,HEALTH CARE,"","",19.9471
U.s.concrete inc,USCR,"",1070704.0,79018000.0,0.002,0.002,2119,64986.0,6.461652,addition,6.2467795,Q1 2012,INDUSTRIALS,"","",47.894
51job inc adr,JOBS,"",1015637.0,78986000.0,0.002,0.0017,2120,15851.0,1.585439,addition,1.5060484,Q2 2016,INDUSTRIALS,"","",80.8905
Xl fleet corp,XL,"",9471292.0,78896000.0,0.002,0.0019,2121,1640950.0,20.956301,addition,6.8076592,Q1 2021,FINANCE,"","",8.8674
Cts corp.,CTS,"",2122023.0,78854000.0,0.002,0.0018,2122,636.0,0.02998,addition,6.5440863,Q2 2002,INFORMATION TECHNOLOGY,"","",17.166
Yandex n.v.,YNDX,"",1113389.0,78772000.0,0.002,0.0021,2123,-73290.0,-6.176059,reduction,0.3495706,Q4 2012,COMMUNICATIONS,"","",54.59
Marinemax inc.,HZO,"",1611044.0,78522000.0,0.002,0.0019,2124,162127.0,11.18953,addition,7.4086674,Q2 2002,CONSUMER DISCRETIONARY,"","",20.8417
Icf international inc,ICFI,"",891098.0,78292000.0,0.0019,0.0021,2125,-1859.0,-0.208185,reduction,4.7248702,Q4 2007,INDUSTRIALS,"","",40.53
Transalta corp. adr,TAC,"",7832794.0,78171000.0,0.0019,0.0022,2126,-714860.0,-8.36323,reduction,2.8904959,Q1 2015,UTILITIES AND TELECOMMUNICATIONS,"","",6.82
Gates industrial corp plc,GTES,"",4321300.0,78087000.0,0.0019,0.0018,2127,122805.0,2.924977,addition,1.4806365,Q1 2018,INDUSTRIALS,"","",16.4183
Scansource inc.,SCSC,"",2771354.0,77958000.0,0.0019,0.0022,2128,11132.0,0.403301,addition,10.8824090,Q2 2002,INFORMATION TECHNOLOGY,"","",31.5263
Biolife solutions inc,BLFS,"",1750494.0,77915000.0,0.0019,0.0014,2129,344463.0,24.498962,addition,4.3339599,Q1 2015,HEALTH CARE,"","",24.8793
Nextier oilfield solutions inc. (keane group),NEX,"",16321956.0,77693000.0,0.0019,0.0015,2130,1101900.0,7.239789,addition,7.5651970,Q1 2017,ENERGY,"","",6.9327
Quotient technology inc,QUOT,"",7148945.0,77279000.0,0.0019,0.0031,2131,162771.0,2.329902,addition,7.5961282,Q1 2014,CONSUMER DISCRETIONARY,"","",13.2922
Oscar health  inc.,OSCR,"",3584120.0,77059000.0,0.0019,0.0021,2132,719400.0,25.112402,addition,2.0805729,Q1 2021,FINANCE,"","",25.8001
Healthstream inc.,HSTM,"",2757767.0,77052000.0,0.0019,0.0017,2133,2793.0,0.10138,addition,8.7397890,Q3 2010,HEALTH CARE,"","",24.024
Rackspace technology  inc.,RXT,"",3917947.0,76831000.0,0.0019,0.0023,2134,391993.0,11.11736,addition,1.8734078,Q3 2020,INFORMATION TECHNOLOGY,"","",20.24
Natus medical,NTUS,"",2955406.0,76782000.0,0.0019,0.002,2135,76373.0,2.652731,addition,8.6590876,Q2 2002,HEALTH CARE,"","",29.3896
World acceptance corp.,WRLD,"",479148.0,76779000.0,0.0019,0.0017,2136,7094.0,1.502794,addition,7.1590556,Q2 2002,FINANCE,"","",58.3512
Theravance biopharma inc,TBPH,"",5278969.0,76651000.0,0.0019,0.0025,2137,763854.0,16.917709,addition,8.0866559,Q2 2014,HEALTH CARE,"","",25.254
Purple innovation inc,PRPL,"",2901744.0,76634000.0,0.0019,0.002,2138,527447.0,22.21487,addition,4.3719788,Q2 2018,FINANCE,"","",22.7443
Central pacific financial corp new,CPF,"",2940673.0,76634000.0,0.0019,0.0021,2139,62140.0,2.158738,addition,10.4209490,Q2 2002,FINANCE,"","",23.0842
Pmv pharmaceuticals  inc.,PMVP,"",2241711.0,76576000.0,0.0019,0.0011,2140,1054433.0,88.810961,addition,4.9778829,Q3 2020,HEALTH CARE,"","",48.0469
B. riley financial inc,RILY,"",1012578.0,76449000.0,0.0019,0.0013,2141,143679.0,16.535754,addition,3.6713814,Q2 2016,FINANCE,"","",26.116
Tupperware brands corp.,TUP,"",3214142.0,76336000.0,0.0019,0.0025,2142,-233630.0,-6.77626,reduction,6.4422495,Q2 2002,CONSUMER DISCRETIONARY,"","",38.35
Agenus inc,AGEN,"",13903405.0,76329000.0,0.0019,0.0009,2143,2109183.0,17.883189,addition,5.9641920,Q2 2002,HEALTH CARE,"","",7.9585
The joint corp,JYNT,"",908786.0,76265000.0,0.0019,0.0009,2144,245124.0,36.935066,addition,6.3215129,Q2 2015,HEALTH CARE,"","",31.1505
Seritage growth properties,SRG,"",4143237.0,76236000.0,0.0019,0.0022,2145,-359302.0,-7.979986,reduction,9.6892961,Q3 2015,REAL ESTATE,"","",39.27
First bancorp (nc),FBNC,"",1856424.0,75946000.0,0.0019,0.0021,2146,42312.0,2.332381,addition,6.5160548,Q2 2002,FINANCE,"","",27.8936
Koppers holdings  inc.,KOP,"",2345261.0,75869000.0,0.0019,0.0021,2147,63874.0,2.799788,addition,10.9903031,Q1 2006,MATERIALS,"","",28.5757
Ecovyst inc,ECVT,"",4938191.0,75850000.0,0.0019,0.0016,2148,1294834.0,35.539586,addition,3.6059862,Q3 2017,MATERIALS,"","",16.2454
Lakeland financial corp.,LKFN,"",1229421.0,75782000.0,0.0019,0.0023,2149,-7176.0,-0.580302,reduction,4.8593523,Q2 2002,FINANCE,"","",27.68
The bancorp inc,TBBK,"",3289387.0,75689000.0,0.0019,0.0014,2150,771465.0,30.638955,addition,5.7685874,Q1 2004,FINANCE,"","",12.814
Amdocs ltd,DOX,"",977610.0,75628000.0,0.0019,0.0018,2151,7536.0,0.776848,addition,0.7456400,Q4 2009,INFORMATION TECHNOLOGY,"","",58.3675
U.s. ecology  inc.,ECOL,"",2014126.0,75570000.0,0.0019,0.0023,2152,-1732.0,-0.085919,reduction,6.3915502,Q2 2006,INDUSTRIALS,"","",39.33
Ambac financial group inc,AMBC,"",4820533.0,75489000.0,0.0019,0.0021,2153,144524.0,3.090755,addition,10.4302807,Q2 2013,FINANCE,"","",19.4722
Vanguard small-cap etf,VB,"",334443.0,75343000.0,0.0019,0.0021,2154,-30037.0,-8.241056,reduction,No Data,Q2 2014,FINANCE,"","",146.71
Tabula rasa healthcare inc,TRHC,"",1504792.0,75239000.0,0.0019,0.0018,2155,79888.0,5.606553,addition,6.0571380,Q4 2016,INFORMATION TECHNOLOGY,"","",43.3716
Amerisafe inc,AMSF,"",1257889.0,75083000.0,0.0019,0.0021,2156,23646.0,1.91583,addition,6.4960003,Q4 2005,FINANCE,"","",39.1142
Tellurian inc,TELL,"",15984904.0,74330000.0,0.0018,0.0008,2157,2879435.0,21.971247,addition,3.7133633,Q1 2010,ENERGY,"","",5.1419
Customers bancorp inc,CUBI,"",1906315.0,74327000.0,0.0018,0.0016,2158,50819.0,2.738836,addition,5.9080748,Q2 2013,FINANCE,"","",22.1999
Bridge bancorp,BDGE,"",2209618.0,74287000.0,0.0018,0.0018,2159,8560.0,0.388904,addition,11.1824409,Q4 2008,FINANCE,"","",29.5857
Re/max holdings inc,RMAX,"",2222480.0,74076000.0,0.0018,0.0023,2160,83633.0,3.910191,addition,11.7647439,Q4 2013,REAL ESTATE,"","",44.3299
Crescent point energy corp,CPG,"",16328922.0,73970000.0,0.0018,0.0018,2161,226915.0,1.409234,addition,2.8070546,Q1 2015,ENERGY,"","",13.1485
Lifestance health group inc,LFST,"",2653153.0,73917000.0,0.0018,,2162,2653153.0,,new,0.7091174,Q2 2021,HEALTH CARE,"","",8.5527
Houghton mifflin harcourt co,HMHC,"",6695067.0,73914000.0,0.0018,0.0013,2163,231174.0,3.57639,addition,5.2547422,Q4 2013,CONSUMER DISCRETIONARY,"","",12.662
Clean energy fuels corp,CLNE,"",7270445.0,73796000.0,0.0018,0.0027,2164,66708.0,0.926019,addition,3.2604043,Q3 2007,ENERGY,"","",6.7911
Chatham lodging trust (reit),CLDT,"",5725963.0,73692000.0,0.0018,0.0019,2165,285540.0,5.248489,addition,11.7769704,Q4 2010,REAL ESTATE,"","",20.8891
Canadian solar inc,CSIQ,"",1641021.0,73584000.0,0.0018,0.0022,2166,28798.0,1.786229,addition,2.7351424,Q3 2017,INFORMATION TECHNOLOGY,"","",19.4338
Acco brands corp,ACCO,"",8480232.0,73185000.0,0.0018,0.0019,2167,93937.0,1.120125,addition,8.8711876,Q3 2005,INDUSTRIALS,"","",10.7957
Gsx techedu inc,GOTU,"",4911091.0,72537000.0,0.0018,0.0015,2168,3254811.0,196.513331,addition,3.3722774,Q4 2019,INFORMATION TECHNOLOGY,"","",19.9839
Codexis inc,CDXS,"",3184936.0,72171000.0,0.0018,0.002,2169,13120.0,0.413643,addition,4.9271346,Q2 2010,MATERIALS,"","",10.4405
Xpel inc,XPEL,"",860310.0,72154000.0,0.0018,0.0012,2170,20566.0,2.44908,addition,3.1156432,Q3 2019,CONSUMER DISCRETIONARY,"","",19.028
Metromile,MILE,"",7879627.0,72099000.0,0.0018,0.0009,2171,4605550.0,140.667125,addition,6.2177899,Q1 2021,FINANCE,"","",9.6237
The chefs warehouse inc,CHEF,"",2264923.0,72092000.0,0.0018,0.0018,2172,20203.0,0.900023,addition,5.9668302,Q3 2011,CONSUMER STAPLES,"","",22.5238
Cryolife  inc.,CRY,"",2538213.0,72084000.0,0.0018,0.0015,2173,14779.0,0.58567,addition,6.4575201,Q2 2002,HEALTH CARE,"","",15.8932
Century aluminum co.,CENX,"",5583370.0,71970000.0,0.0018,0.0026,2174,110332.0,2.015919,addition,6.1948570,Q2 2002,MATERIALS,"","",13.1253
Brightspire capital inc,BRSP,"",7644216.0,71856000.0,0.0018,0.0017,2175,161732.0,2.161475,addition,5.8910813,Q1 2018,REAL ESTATE,"","",18.9829
Dmc global inc. (explosive fabricators - dynamic materials),BOOM,"",1275395.0,71691000.0,0.0018,0.0015,2176,224298.0,21.33942,addition,6.8111621,Q2 2005,INDUSTRIALS,"","",39.3647
Vocera communications inc,VCRA,"",1798405.0,71666000.0,0.0018,0.0018,2177,95027.0,5.578738,addition,5.1805129,Q2 2012,INFORMATION TECHNOLOGY,"","",24.345
New senior investment group inc,SNR,"",8152469.0,71579000.0,0.0018,0.0014,2178,124131.0,1.546161,addition,9.6980257,Q4 2014,REAL ESTATE,"","",12.2169
Tpg re finance trust inc,TRTX,"",5304319.0,71343000.0,0.0018,0.0016,2179,-58512.0,-1.091066,reduction,6.8845967,Q3 2017,FINANCE,"","",19.06
Columbia financial inc,CLBK,"",4137674.0,71251000.0,0.0018,0.0022,2180,-562673.0,-11.970882,reduction,3.8746185,Q2 2018,FINANCE,"","",16.3
Centennial resource development inc,CDEV,"",10493645.0,71147000.0,0.0018,0.0012,2181,346626.0,3.416038,addition,3.7558950,Q4 2016,ENERGY,"","",12.7655
Sanfilippo (john b.) & son inc.,JBSS,"",803230.0,71143000.0,0.0018,0.002,2182,-17824.0,-2.170868,reduction,9.0546496,Q1 2003,CONSUMER STAPLES,"","",59.06
Kronos bio  inc.,KRON,"",2960203.0,70897000.0,0.0018,0.0012,2183,1502911.0,103.130395,addition,5.2621913,Q4 2020,HEALTH CARE,"","",26.8545
Laredo petroleum inc,LPI,"",760716.0,70586000.0,0.0018,0.0004,2184,210868.0,38.350235,addition,4.7337648,Q1 2012,ENERGY,"","",183.0754
Central garden & pet co,CENT,"",1333283.0,70571000.0,0.0018,0.002,2185,47322.0,3.679894,addition,11.7611229,Q2 2002,CONSUMER STAPLES,"","",24.506
Confluent inc,CFLT,"",1485344.0,70553000.0,0.0018,,2186,1485344.0,,new,5.3861093,Q2 2021,INFORMATION TECHNOLOGY,"","",47.5
Smart global holdings inc,SGH,"",1479686.0,70551000.0,0.0018,0.0018,2187,3513.0,0.23798,addition,6.0991033,Q3 2017,INFORMATION TECHNOLOGY,"","",36.766
Blink chargng co,BLNK,"",1711988.0,70484000.0,0.0018,0.0017,2188,189332.0,12.434325,addition,4.0610714,Q2 2018,INDUSTRIALS,"","",23.9777
Mannkind corp,MNKD,"",12895653.0,70281000.0,0.0017,0.0014,2189,-288476.0,-2.188055,reduction,5.1652823,Q3 2004,HEALTH CARE,"","",22.85
Zogenix inc,ZGNX,"",4056641.0,70098000.0,0.0017,0.0022,2190,-24032.0,-0.588922,reduction,7.2572621,Q1 2011,HEALTH CARE,"","",160.55
Lemaitre vascular inc,LMAT,"",1147171.0,70000000.0,0.0017,0.0015,2191,40828.0,3.690356,addition,5.2960291,Q4 2006,HEALTH CARE,"","",23.7552
The gorman-rupp company,GRC,"",2023559.0,69691000.0,0.0017,0.0018,2192,-125.0,-0.006177,reduction,7.7451942,Q2 2002,INDUSTRIALS,"","",24.3
Aerie pharmaceuticals inc,AERI,"",4349682.0,69639000.0,0.0017,0.0021,2193,98928.0,2.327305,addition,9.2088635,Q4 2013,HEALTH CARE,"","",41.0669
Canada goose holdings inc,GOOS,"",1590703.0,69578000.0,0.0017,0.0017,2194,13582.0,0.861189,addition,2.6723348,Q4 2017,CONSUMER DISCRETIONARY,"","",52.9903
Calavo growers inc,CVGW,"",1092467.0,69284000.0,0.0017,0.0024,2195,-36800.0,-3.258751,reduction,6.1777388,Q3 2007,CONSUMER STAPLES,"","",53.63
Enterprise financial services corp,EFSC,"",1488991.0,69074000.0,0.0017,0.0019,2196,63592.0,4.461347,addition,3.8550329,Q2 2005,FINANCE,"","",32.9113
Circor international  inc,CIR,"",2115795.0,68975000.0,0.0017,0.0019,2197,88560.0,4.368512,addition,10.4469630,Q2 2002,INDUSTRIALS,"","",36.9021
Olema pharmaceuticals  inc.,OLMA,"",2462255.0,68894000.0,0.0017,0.0008,2198,1536117.0,165.862647,addition,6.2244426,Q4 2020,HEALTH CARE,"","",34.7993
Northern oil and gas inc,NOG,"",3315310.0,68859000.0,0.0017,0.0009,2199,688075.0,26.190082,addition,5.0101329,Q2 2008,ENERGY,"","",142.0553
Jinkosolar holding co ltd adr,JKS,"",1226957.0,68734000.0,0.0017,0.0013,2200,52417.0,4.462768,addition,2.7879050,Q3 2017,INFORMATION TECHNOLOGY,"","",20.9453
Gevo inc,GEVO,"",9453910.0,68730000.0,0.0017,0.0022,2201,1067696.0,12.731562,addition,4.7710796,Q1 2011,MATERIALS,"","",5048.9193
Angiodynamics inc,ANGO,"",2525447.0,68515000.0,0.0017,0.0015,2202,131090.0,5.474956,addition,6.5691447,Q4 2004,HEALTH CARE,"","",17.3078
Zymergen inc,ZY,"",1710522.0,68438000.0,0.0017,,2203,1710522.0,,new,1.7049848,Q2 2021, ,"","",40.01
Granite point mortgage trust inc,GPMT,"",4637982.0,68411000.0,0.0017,0.0015,2204,34124.0,0.741204,addition,8.4650982,Q3 2017,FINANCE,"","",17.043
Kura oncology inc,KURA,"",3278650.0,68360000.0,0.0017,0.0025,2205,-49758.0,-1.494949,reduction,4.9455085,Q4 2015,HEALTH CARE,"","",18.48
Porch group inc,PRCH,"",3517470.0,68028000.0,0.0017,0.0013,2206,720969.0,25.78111,addition,3.6512571,Q1 2021,FINANCE,"","",18.0361
View inc,VIEW,"",8019286.0,68003000.0,0.0017,,2207,8019286.0,,new,3.6942176,Q2 2021,FINANCE,"","",8.48
Arcus biosciences inc,RCUS,"",2466442.0,67730000.0,0.0017,0.0019,2208,-58407.0,-2.313287,reduction,3.4546891,Q1 2018,HEALTH CARE,"","",16.89
Tactile systems technology inc,TCMD,"",1297465.0,67468000.0,0.0017,0.0018,2209,54638.0,4.396268,addition,6.5587183,Q3 2016,HEALTH CARE,"","",35.9266
Intercept pharmaceuticals inc,ICPT,"",3373212.0,67363000.0,0.0017,0.0021,2210,77095.0,2.338964,addition,10.1599157,Q4 2012,HEALTH CARE,"","",113.3167
Cowen inc cl a,COWN,"",1640145.0,67328000.0,0.0017,0.0015,2211,86079.0,5.538954,addition,5.6526062,Q4 2009,FINANCE,"","",
Osisko gold royalties ltd,OR,"",4900491.0,67136000.0,0.0017,0.0014,2212,138081.0,2.899393,addition,2.9156224,Q3 2016,MATERIALS,"","",10.9886
Hyster-yale materials handling inc,HY,"",919172.0,67082000.0,0.0017,0.0021,2213,17330.0,1.921623,addition,7.0823618,Q4 2012,INDUSTRIALS,"","",63.9927
Novagold resources inc,NG,"",8345889.0,66851000.0,0.0017,0.002,2214,8583.0,0.102947,addition,2.5164649,Q1 2015,MATERIALS,"","",5.2428
United fire group  inc.,UFCS,"",2406539.0,66734000.0,0.0017,0.0022,2215,72285.0,3.096707,addition,9.5811857,Q2 2002,FINANCE,"","",33.9475
First busey corp,BUSE,"",2703457.0,66667000.0,0.0017,0.0018,2216,49281.0,1.856734,addition,4.8046275,Q2 2002,FINANCE,"","",66.238
Stock yards bancorp inc (s.y. bancorp inc),SYBT,"",1307324.0,66530000.0,0.0017,0.0018,2217,-3443.0,-0.262671,reduction,4.9172419,Q2 2002,FINANCE,"","",22.82
Sk telecom co.  ltd. adr,SKM,"",2117399.0,66507000.0,0.0017,0.0016,2218,-71829.0,-3.28102,reduction,0.3264864,Q1 2005,UTILITIES AND TELECOMMUNICATIONS,"","",22.91
Latham group inc,SWIM,"",2075395.0,66330000.0,0.0017,,2219,2075395.0,,new,1.7236173,Q2 2021,CONSUMER DISCRETIONARY,"","",31.96
Glatfelter corp,GLT,"",4746650.0,66310000.0,0.0017,0.0021,2220,154691.0,3.368737,addition,10.6606188,Q2 2002,MATERIALS,"","",16.8626
Lydall inc.,LDL,"",1090628.0,66005000.0,0.0016,0.001,2221,-555.0,-0.050862,reduction,6.0465476,Q2 2002,CONSUMER DISCRETIONARY,"","",23.29
Celldex therapeutics inc.,CLDX,"",1970406.0,65889000.0,0.0016,0.001,2222,172079.0,9.568838,addition,4.2390875,Q2 2002,HEALTH CARE,"","",357.0357
Nextera energy partners lp,NEP,"",862542.0,65863000.0,0.0016,0.0013,2223,220788.0,34.403837,addition,1.1257488,Q4 2014,ENERGY,"","",59.1804
Eargo  inc.,EAR,"",1649528.0,65833000.0,0.0016,0.0012,2224,784948.0,90.789516,addition,4.2122362,Q4 2020,HEALTH CARE,"","",42.5726
Ingles markets  inc class a,IMKTA,"",1127055.0,65672000.0,0.0016,0.0019,2225,8010.0,0.715789,addition,7.9025946,Q2 2002,CONSUMER STAPLES,"","",35.5923
Epizyme inc,EPZM,"",7901309.0,65659000.0,0.0016,0.0018,2226,71331.0,0.910999,addition,7.7274781,Q2 2013,HEALTH CARE,"","",14.791
Columbus mckinnon corp,CMCO,"",1359439.0,65579000.0,0.0016,0.0016,2227,205287.0,17.786825,addition,4.7869575,Q1 2004,INDUSTRIALS,"","",31.9309
Signify health  inc.,SGFY,"",2151663.0,65475000.0,0.0016,0.0017,2228,47585.0,2.261561,addition,1.2805201,Q1 2021,INFORMATION TECHNOLOGY,"","",29.2859
Baozun inc adr,BZUN,"",1844285.0,65362000.0,0.0016,0.0018,2229,78791.0,4.46283,addition,2.4947044,Q3 2017,COMMUNICATIONS,"","",38.4841
Shyft group inc,SHYF,"",1745643.0,65305000.0,0.0016,0.0017,2230,50031.0,2.950616,addition,4.9381327,Q2 2002,CONSUMER DISCRETIONARY,"","",9.5617
Chemocentryx  inc.,CCXI,"",4859704.0,65071000.0,0.0016,0.0067,2231,-9362.0,-0.192275,reduction,6.9520176,Q1 2013,HEALTH CARE,"","",36.97
Phibro animal health corp,PAHC,"",2243904.0,64804000.0,0.0016,0.0015,2232,8296.0,0.371085,addition,11.0332924,Q2 2014,HEALTH CARE,"","",28.9697
Tootsie roll industries inc. (sweets co. of america),TR,"",1907488.0,64682000.0,0.0016,0.0017,2233,24942.0,1.324908,addition,4.7684803,Q2 2002,CONSUMER STAPLES,"","",27.5147
Ballys corp,BALY,"",1193379.0,64573000.0,0.0016,0.0017,2234,242623.0,25.518955,addition,2.6762701,Q1 2019,REAL ESTATE,"","",36.2004
Viad corp,VVI,"",1293509.0,64481000.0,0.0016,0.0014,2235,59758.0,4.843603,addition,6.3118383,Q2 2002,INDUSTRIALS,"","",50.0598
Mrc global inc,MRC,"",6841719.0,64313000.0,0.0016,0.0017,2236,77628.0,1.147649,addition,8.2763961,Q2 2012,INDUSTRIALS,"","",22.47
Gladstone land corp,LAND,"",2666847.0,64165000.0,0.0016,0.0006,2237,1420283.0,113.935827,addition,8.5128397,Q2 2013,CONSUMER STAPLES,"","",18.563
Vaxcyte  inc.,PCVX,"",2848644.0,64123000.0,0.0016,0.0015,2238,77330.0,2.790373,addition,5.4582924,Q2 2020,HEALTH CARE,"","",33.941
Perdoceo education corp. (career education),PRDO,"",5184327.0,63612000.0,0.0016,0.0017,2239,35153.0,0.682692,addition,7.3975047,Q2 2002,CONSUMER DISCRETIONARY,"","",16.67
Cornerstone building brands inc,CNR,"",3466832.0,63028000.0,0.0016,0.0012,2240,263007.0,8.209156,addition,2.7503404,Q2 2002,INDUSTRIALS,"","",50.9314
Mpg ingredients inc,MGPI,"",931727.0,63022000.0,0.0016,0.0015,2241,14972.0,1.633152,addition,4.2424176,Q2 2002,CONSUMER STAPLES,"","",47.3809
Dada nexus ltd. ads,DADA,"",2168629.0,62911000.0,0.0016,0.0005,2242,1501212.0,224.928643,addition,0.9158312,Q4 2020,COMMUNICATIONS,"","",31.2536
Hanger inc,HNGR,"",2474977.0,62567000.0,0.0016,0.0014,2243,130749.0,5.577486,addition,6.3968673,Q4 2018,HEALTH CARE,"","",21.2261
Senseonics holdings inc,SENS,"",16280574.0,62518000.0,0.0016,0.0008,2244,4826179.0,42.133862,addition,3.6564607,Q2 2016,HEALTH CARE,"","",3.0168
Stonex group inc. (intl fcstone),SNEX,"",1029504.0,62459000.0,0.0016,0.0018,2245,25669.0,2.557094,addition,5.1951578,Q1 2007,FINANCE,"","",30.2577
Romeo power inc,RMO,"",7672983.0,62457000.0,0.0016,0.0017,2246,171879.0,2.291383,addition,5.8484283,Q1 2021,FINANCE,"","",8.3257
Methanex corp,MEOH,"",1881871.0,62233000.0,0.0015,0.0019,2247,-7168.0,-0.379452,reduction,2.4693463,Q1 2015,MATERIALS,"","",44.51
Oceanfirst financial corp.,OCFC,"",2981171.0,62128000.0,0.0015,0.002,2248,-69512.0,-2.278572,reduction,4.9812097,Q2 2002,FINANCE,"","",22.44
Coherus biosciences inc,CHRS,"",4475604.0,61897000.0,0.0015,0.0017,2249,214504.0,5.034005,addition,5.8519810,Q4 2014,HEALTH CARE,"","",18.3047
Donnelley financial solutions inc,DFIN,"",1873740.0,61834000.0,0.0015,0.0014,2250,57428.0,3.161792,addition,5.5754733,Q4 2016,INFORMATION TECHNOLOGY,"","",18.1689
Ready capital corp,RC,"",3873933.0,61479000.0,0.0015,0.0014,2251,-16475.0,-0.423477,reduction,5.4392595,Q2 2013,REAL ESTATE,"","",13.3
Root  inc.,ROOT,"",5680141.0,61460000.0,0.0015,0.0008,2252,3499493.0,160.4795,addition,6.5369279,Q4 2020,FINANCE,"","",12.6973
Capstead mortgage corp.,CMO,"",9943914.0,61056000.0,0.0015,0.0017,2253,-334777.0,-3.257,reduction,10.2673351,Q2 2002,REAL ESTATE,"","",10.38
Model n  inc.,MODN,"",1781519.0,61053000.0,0.0015,0.0018,2254,-98919.0,-5.260423,reduction,4.9785347,Q2 2013,INFORMATION TECHNOLOGY,"","",18.94
Agiliti inc,AGTI,"",2787757.0,60969000.0,0.0015,,2255,2787757.0,,new,2.1380952,Q2 2021,HEALTH CARE,"","",21.87
Homestreet inc,HMST,"",1493444.0,60844000.0,0.0015,0.0018,2256,24574.0,1.672987,addition,7.1818610,Q3 2012,FINANCE,"","",26.6655
Nabors industries ltd.,NBR,"",532376.0,60818000.0,0.0015,0.0013,2257,6124.0,1.163701,addition,6.4596571,Q2 2002,ENERGY,"","",451.8117
Quinstreet inc,QNST,"",3267917.0,60717000.0,0.0015,0.0017,2258,122278.0,3.887223,addition,6.0946461,Q1 2010,COMMUNICATIONS,"","",11.9478
A10 networks inc,ATEN,"",5376131.0,60535000.0,0.0015,0.0013,2259,558820.0,11.600248,addition,6.9993588,Q2 2014,INFORMATION TECHNOLOGY,"","",8.0252
Brp group  inc.,BRP,"",2261321.0,60265000.0,0.0015,0.0017,2260,16393.0,0.730224,addition,4.7962900,Q4 2019,FINANCE,"","",20.8424
Federal agricultural mortgage corp cl c,AGM,"",609085.0,60239000.0,0.0015,0.0017,2261,-23700.0,-3.745348,reduction,6.5956879,Q2 2002,FINANCE,"","",39.2
Gohealth  inc.,GOCO,"",5365337.0,60146000.0,0.0015,0.0021,2262,-1276904.0,-19.223994,reduction,5.3657497,Q3 2020,FINANCE,"","",12.44
Nv5 global inc,NVEE,"",635499.0,60061000.0,0.0015,0.0016,2263,18598.0,3.014746,addition,4.1315487,Q4 2014,INDUSTRIALS,"","",49.6523
Marten transport ltd,MRTN,"",3638357.0,59996000.0,0.0015,0.0017,2264,-81777.0,-2.198227,reduction,4.3898602,Q3 2003,TRANSPORTS,"","",8.66
National western life group inc,NWLI,"",266645.0,59832000.0,0.0015,0.0018,2265,4358.0,1.661539,addition,7.7602866,Q2 2002,FINANCE,"","",210.8746
Sun country airlines holdings inc,SNCY,"",1616419.0,59824000.0,0.0015,0.0006,2266,1019628.0,170.851772,addition,2.8279607,Q1 2021,TRANSPORTS,"","",36.0021
